raceId,year,round,date,name,circuitRef,country,driverRef,code,constructorRef,grid,positionOrder,points,laps,statusId,milliseconds,rank,fastestLapSpeed
107,2004,18,2004-10-24,Brazilian Grand Prix,interlagos,Brazil,heidfeld,HEI,jordan,16,19,0.0,15,8,\N,19,204.500
1130,2024,10,2024-06-23,Spanish Grand Prix,catalunya,Spain,leclerc,LEC,ferrari,5,5,10.0,66,1,5322936,6,215.222
958,2016,11,2016-07-24,Hungarian Grand Prix,hungaroring,Hungary,gutierrez,GUT,haas,15,13,0.0,69,11,\N,17,183.486
457,1983,6,1983-05-22,Belgian Grand Prix,spa,Belgium,boesel,\N,ligier,26,13,0.0,39,11,\N,\N,\N
22,2008,5,2008-05-11,Turkish Grand Prix,istanbul,Turkey,heidfeld,HEI,bmw_sauber,9,5,4.0,58,1,5248192,5,220.328
661,1969,6,1969-07-19,British Grand Prix,silverstone,UK,courage,\N,brabham-ford,10,5,2.0,83,11,\N,\N,\N
646,1970,4,1970-06-07,Belgian Grand Prix,spa,Belgium,giunti,\N,ferrari,8,4,3.0,28,1,6048600,\N,\N
67,2006,15,2006-09-10,Italian Grand Prix,monza,Italy,rosberg,ROS,williams,12,22,0.0,9,30,\N,19,244.310
932,2015,7,2015-06-07,Canadian Grand Prix,villeneuve,Canada,nasr,NAS,sauber,14,16,0.0,68,12,\N,17,198.507
635,1971,4,1971-06-20,Dutch Grand Prix,zandvoort,Netherlands,pescarolo,\N,march-ford,15,13,0.0,62,62,\N,\N,\N
964,2016,17,2016-10-09,Japanese Grand Prix,suzuka,Japan,perez,PER,force_india,5,7,6.0,53,1,5260828,7,216.061
506,1980,9,1980-08-10,German Grand Prix,hockenheimring,Germany,laffite,\N,ligier,5,1,9.0,45,1,5039730,\N,\N
353,2010,17,2010-10-24,Korean Grand Prix,yeongam,Korea,sutil,SUT,force_india,14,16,0.0,46,4,\N,12,179.518
542,1978,16,1978-10-08,Canadian Grand Prix,villeneuve,Canada,gilles_villeneuve,\N,ferrari,3,1,9.0,70,1,7069196,\N,\N
563,1976,4,1976-05-02,Spanish Grand Prix,jarama,Spain,jones,\N,surtees,20,9,0.0,74,11,\N,\N,\N
184,1999,10,1999-08-01,German Grand Prix,hockenheimring,Germany,gene,\N,minardi,15,9,0.0,45,1,5026912,\N,\N
286,1993,14,1993-09-26,Portuguese Grand Prix,estoril,Portugal,prost,\N,williams,2,2,6.0,71,1,5567291,\N,\N
1113,2023,15,2023-09-17,Singapore Grand Prix,marina_bay,Singapore,max_verstappen,VER,red_bull,11,5,10.0,62,1,6418859,4,184.147
997,2018,9,2018-07-01,Austrian Grand Prix,red_bull_ring,Austria,alonso,ALO,mclaren,13,8,4.0,70,11,\N,9,226.399
1007,2018,19,2018-10-28,Mexican Grand Prix,rodriguez,Mexico,alonso,ALO,mclaren,12,20,0.0,3,5,\N,20,184.025
267,1994,11,1994-08-28,Belgian Grand Prix,spa,Belgium,adams,\N,team_lotus,26,21,0.0,15,20,\N,\N,\N
17,2009,17,2009-11-01,Abu Dhabi Grand Prix,yas_marina,UAE,sutil,SUT,force_india,17,17,0.0,54,11,\N,13,198.152
324,1990,4,1990-05-27,Monaco Grand Prix,monaco,Monaco,boutsen,\N,williams,6,4,3.0,77,11,\N,\N,\N
415,1986,12,1986-08-17,Austrian Grand Prix,red_bull_ring,Austria,piquet,\N,williams,7,13,0.0,29,5,\N,\N,\N
295,1992,7,1992-06-14,Canadian Grand Prix,villeneuve,Canada,patrese,\N,williams,2,17,0.0,43,6,\N,\N,\N
358,1989,3,1989-05-07,Monaco Grand Prix,monaco,Monaco,ghinzani,\N,osella,0,30,0.0,0,97,\N,\N,\N
599,1974,10,1974-07-20,British Grand Prix,brands_hatch,UK,wilds,\N,march,0,33,0.0,0,81,\N,\N,\N
1078,2022,5,2022-05-08,Miami Grand Prix,miami,USA,bottas,BOT,alfa,5,7,6.0,57,1,5689331,10,209.083
18,2008,1,2008-03-16,Australian Grand Prix,albert_park,Australia,coulthard,COU,red_bull,8,14,0.0,25,4,\N,11,213.300
360,1989,5,1989-06-04,United States Grand Prix,phoenix,USA,weidler,\N,rial,0,36,0.0,0,97,\N,\N,\N
739,1961,2,1961-05-22,Dutch Grand Prix,zandvoort,Netherlands,mclaren,\N,cooper-climax,14,12,0.0,73,12,\N,\N,\N
438,1984,3,1984-04-29,Belgian Grand Prix,zolder,Belgium,ghinzani,\N,osella,20,22,0.0,14,7,\N,\N,\N
284,1993,12,1993-08-29,Belgian Grand Prix,spa,Belgium,alliot,\N,larrousse,18,12,0.0,42,12,\N,\N,\N
526,1979,15,1979-10-07,United States Grand Prix,watkins_glen,USA,jones,\N,williams,1,12,0.0,36,36,\N,\N,\N
793,1955,2,1955-05-22,Monaco Grand Prix,monaco,Monaco,behra,\N,maserati,11,10,0.0,86,20,\N,\N,\N
108,2003,1,2003-03-09,Australian Grand Prix,albert_park,Australia,wilson,\N,minardi,19,16,0.0,16,21,\N,\N,\N
1020,2019,11,2019-07-28,German Grand Prix,hockenheimring,Germany,stroll,STR,racing_point,15,4,12.0,64,1,6280241,8,211.566
238,1996,15,1996-09-22,Portuguese Grand Prix,estoril,Portugal,rosset,\N,footwork,17,14,0.0,67,13,\N,\N,\N
112,2003,5,2003-05-04,Spanish Grand Prix,catalunya,Spain,wilson,\N,minardi,18,11,0.0,63,12,\N,\N,\N
926,2015,1,2015-03-15,Australian Grand Prix,albert_park,Australia,nasr,NAS,sauber,10,5,10.0,58,1,5609216,9,206.137
23,2008,6,2008-05-25,Monaco Grand Prix,monaco,Monaco,nakajima,NAK,williams,13,7,2.0,76,1,7272922,13,150.469
579,1975,4,1975-04-27,Spanish Grand Prix,montjuic,Spain,depailler,\N,tyrrell,7,22,0.0,1,3,\N,\N,\N
388,1987,1,1987-04-12,Brazilian Grand Prix,jacarepagua,Brazil,berger,\N,ferrari,7,4,3.0,61,1,6084376,\N,\N
525,1979,14,1979-09-30,Canadian Grand Prix,villeneuve,Canada,lauda,\N,brabham-ford,0,30,0.0,0,54,\N,\N,\N
410,1986,7,1986-06-22,Detroit Grand Prix,detroit,USA,keke_rosberg,\N,mclaren,9,23,0.0,12,7,\N,\N,\N
